iter	Passed	Remaining
399	49749	74624
400	49867	74490
401	49986	74357
402	50103	74222
403	50218	74085
404	50337	73952
405	50452	73815
406	50568	73678
407	50685	73543
408	50801	73407
409	50920	73275
410	51039	73143
411	51160	73015
412	51277	72880
413	51396	72749
414	51513	72615
415	51634	72487
416	51755	72358
417	51878	72232
418	52007	72115
419	52126	71983
420	52253	71863
421	52380	71743
422	52510	71627
423	52632	71501
424	52755	71375
425	52873	71242
426	52995	71115
427	53114	70984
428	53231	70851
429	53351	70722
430	53472	70593
431	53612	70490
432	53731	70359
433	53847	70225
434	53966	70093
435	54085	69964
436	54205	69834
437	54324	69704
438	54443	69573
439	54588	69476
440	54709	69348
441	54825	69213
442	54942	69081
443	55066	68956
444	55184	68825
445	55312	68706
446	55441	68588
447	55572	68473
448	55707	68362
449	55827	68233
450	55950	68108
451	56071	67980
452	56196	67857
453	56317	67730
454	56437	67601
455	56557	67472
456	56681	67347
457	56802	67220
458	56922	67092
459	57043	66963
460	57163	66835
461	57283	66706
462	57403	66577
463	57520	66446
464	57640	66317
465	57761	66190
466	57879	66059
467	58001	65933
468	58122	65805
469	58243	65678
470	58362	65549
471	58484	65423
472	58606	65297
473	58728	65171
474	58848	65043
475	58970	64916
476	59089	64787
477	59209	64660
478	59335	64537
479	59453	64407
480	59573	64279
481	59692	64151
482	59816	64027
483	59934	63896
484	60055	63770
485	60175	63642
486	60295	63514
487	60415	63386
488	60537	63261
489	60654	63130
490	60775	63003
491	60898	62878
492	61021	62754
493	61142	62627
494	61264	62502
495	61386	62376
496	61507	62249
497	61632	62127
498	61757	62005
499	61878	61878
500	62000	61753
501	62123	61628
502	62244	61501
503	62363	61373
504	62483	61246
505	62602	61118
506	62721	60989
507	62841	60862
508	62963	60736
509	63083	60609
510	63202	60481
511	63324	60355
512	63442	60227
513	63587	60123
514	63707	59996
515	63826	59868
516	63948	59743
517	64071	59618
518	64190	59490
519	64308	59361
520	64429	59235
521	64551	59110
522	64676	58988
523	64801	58865
524	64925	58742
525	65053	58622
526	65184	58505
527	65309	58382
528	65448	58272
529	65582	58158
530	65705	58033
531	65822	57904
532	65939	57774
533	66060	57647
534	66180	57521
535	66298	57393
536	66420	57267
537	66536	57137
538	66656	57010
539	66776	56883
540	66895	56756
541	67014	56628
542	67135	56502
543	67254	56375
544	67374	56248
545	67491	56119
546	67608	55989
547	67726	55862
548	67846	55735
549	67964	55607
550	68083	55480
551	68202	55352
552	68321	55225
553	68438	55096
554	68556	54968
555	68673	54840
556	68791	54711
557	68912	54586
558	69032	54460
559	69153	54335
560	69277	54211
561	69397	54085
562	69518	53960
563	69637	53833
564	69763	53711
565	69884	53586
566	70011	53465
567	70137	53343
568	70261	53220
569	70387	53099
570	70508	52973
571	70626	52846
572	70742	52717
573	70859	52588
574	70974	52459
575	71092	52331
576	71209	52203
577	71325	52074
578	71443	51947
579	71558	51818
580	71673	51689
581	71791	51561
582	71910	51435
583	72027	51306
584	72144	51179
585	72260	51051
586	72378	50923
587	72497	50797
588	72614	50670
589	72733	50543
590	72850	50416
591	72971	50290
592	73086	50162
593	73204	50035
594	73323	49909
595	73445	49785
596	73569	49662
597	73685	49534
598	73802	49406
599	73943	49295
600	74063	49170
601	74180	49042
602	74297	48915
603	74412	48787
604	74530	48660
605	74652	48536
606	74771	48410
607	74889	48284
608	75009	48158
609	75130	48034
610	75251	47909
611	75369	47783
612	75490	47658
613	75608	47532
614	75726	47406
615	75847	47281
616	75965	47154
617	76086	47030
618	76204	46904
619	76325	46780
620	76448	46657
621	76567	46531
622	76684	46404
623	76804	46279
624	76945	46167
625	77071	46045
626	77192	45921
627	77311	45796
628	77431	45671
629	77551	45545
630	77672	45421
631	77790	45295
632	77905	45168
633	78024	45042
634	78141	44915
635	78258	44789
636	78375	44662
637	78492	44536
638	78609	44410
639	78724	44282
640	78842	44156
641	78960	44030
642	79074	43903
643	79191	43776
644	79311	43652
645	79431	43527
646	79557	43405
647	79672	43279
648	79792	43154
649	79916	43031
650	80041	42909
651	80161	42785
652	80282	42661
653	80405	42538
654	80521	42412
655	80637	42285
656	80753	42159
657	80869	42032
658	80986	41906
659	81106	41781
660	81223	41656
661	81339	41529
662	81459	41405
663	81572	41277
664	81692	41153
665	81814	41029
666	81932	40904
667	82049	40779
668	82171	40655
669	82289	40530
670	82404	40403
671	82522	40278
672	82637	40152
673	82754	40026
674	82869	39899
675	82988	39775
676	83103	39649
677	83223	39524
678	83338	39398
679	83454	39272
680	83570	39147
681	83687	39021
682	83802	38895
683	83941	38779
684	84061	38656
685	84177	38530
686	84293	38404
687	84409	38278
688	84526	38153
689	84643	38028
690	84764	37904
691	84881	37779
692	84998	37654
693	85118	37530
694	85237	37406
695	85354	37281
696	85470	37155
697	85586	37030
698	85705	36905
699	85823	36781
700	85938	36655
701	86059	36532
702	86174	36406
703	86294	36282
704	86410	36157
705	86527	36032
706	86646	35908
707	86762	35783
708	86879	35658
709	86998	35534
710	87115	35409
711	87238	35287
712	87354	35162
713	87470	35037
714	87587	34912
715	87704	34788
716	87828	34665
717	87949	34542
718	88075	34421
719	88202	34301
720	88332	34181
721	88479	34068
722	88599	33944
723	88717	33820
724	88832	33695
725	88950	33570
726	89067	33446
727	89185	33322
728	89304	33198
729	89421	33073
730	89536	32948
731	89655	32824
732	89774	32701
733	89893	32577
734	90015	32454
735	90130	32329
736	90248	32205
737	90366	32081
738	90484	31957
739	90601	31832
740	90717	31708
741	90833	31583
742	90951	31459
743	91075	31337
744	91201	31216
745	91327	31095
746	91455	30974
747	91587	30855
748	91711	30733
749	91827	30609
750	91946	30485
751	92069	30363
752	92189	30240
753	92306	30115
754	92425	29992
755	92541	29867
756	92659	29744
757	92777	29620
758	92898	29497
759	93019	29374
760	93136	29250
761	93253	29126
762	93369	29002
763	93491	28879
764	93607	28755
765	93726	28631
766	93843	28507
767	93984	28391
768	94102	28267
769	94219	28143
770	94338	28020
771	94454	27895
772	94570	27771
773	94688	27647
774	94813	27526
775	94931	27402
776	95048	27279
777	95165	27155
778	95286	27032
779	95402	26908
780	95517	26783
781	95634	26660
782	95752	26536
783	95874	26414
784	96000	26293
785	96117	26169
786	96239	26047
787	96371	25927
788	96495	25805
789	96618	25683
790	96740	25560
791	96857	25437
792	96979	25315
793	97097	25191
794	97211	25067
795	97330	24944
796	97450	24821
797	97564	24696
798	97681	24573
799	97799	24449
800	97920	24327
801	98039	24204
802	98155	24080
803	98271	23956
804	98386	23832
805	98504	23709
806	98623	23586
807	98737	23462
808	98855	23339
809	98973	23215
810	99088	23092
811	99194	22966
812	99312	22842
813	99440	22722
814	99576	22603
815	99700	22481
816	99816	22357
817	99932	22234
818	100052	22111
819	100177	21990
820	100309	21870
821	100443	21750
822	100572	21629
823	100696	21508
824	100841	21390
825	100973	21270
826	101098	21148
827	101222	21026
828	101354	20906
829	101482	20785
830	101605	20663
831	101738	20543
832	101863	20421
833	101991	20300
834	102125	20180
835	102256	20059
836	102380	19937
837	102502	19815
838	102636	19695
839	102763	19574
840	102892	19452
841	103013	19330
842	103138	19208
843	103290	19091
844	103424	18971
845	103549	18849
846	103671	18726
847	103792	18604
848	103918	18482
849	104039	18359
850	104161	18237
851	104284	18115
852	104414	17993
853	104545	17873
854	104670	17751
855	104802	17630
856	104926	17508
857	105051	17386
858	105174	17263
859	105293	17140
860	105422	17019
861	105543	16896
862	105665	16774
863	105788	16651
864	105907	16528
865	106035	16407
866	106153	16284
867	106277	16161
868	106401	16039
869	106520	15916
870	106650	15795
871	106795	15676
872	106917	15553
873	107037	15431
874	107161	15308
875	107282	15186
876	107403	15063
877	107520	14940
878	107644	14817
879	107773	14696
880	107899	14574
881	108020	14451
882	108142	14329
883	108263	14206
884	108386	14084
885	108507	13961
886	108630	13839
887	108753	13716
888	108873	13593
889	108996	13471
890	109118	13349
891	109241	13226
892	109362	13103
893	109485	12981
894	109605	12858
895	109726	12736
896	109846	12613
897	109970	12491
898	110091	12368
899	110216	12246
900	110340	12123
901	110463	12001
902	110581	11878
903	110702	11756
904	110826	11633
905	110948	11511
906	111068	11388
907	111189	11265
908	111310	11143
909	111431	11020
910	111550	10897
911	111671	10775
912	111791	10652
913	111933	10532
914	112054	10409
915	112171	10286
916	112288	10163
917	112411	10041
918	112530	9918
919	112650	9795
920	112768	9672
921	112891	9550
922	113011	9427
923	113128	9304
924	113253	9182
925	113379	9060
926	113502	8938
927	113630	8816
928	113763	8694
929	113891	8572
930	114017	8450
931	114140	8327
932	114259	8205
933	114378	8082
934	114500	7959
935	114620	7837
936	114739	7714
937	114859	7592
938	114981	7469
939	115099	7346
940	115218	7224
941	115336	7101
942	115458	6978
943	115574	6856
944	115691	6733
945	115807	6610
946	115925	6487
947	116048	6365
948	116177	6243
949	116302	6121
950	116428	5998
951	116550	5876
952	116683	5754
953	116808	5632
954	116932	5509
955	117051	5387
956	117173	5264
957	117292	5142
958	117413	5019
959	117532	4897
960	117651	4774
961	117772	4652
962	117891	4529
963	118013	4407
964	118132	4284
965	118253	4162
966	118379	4039
967	118525	3918
968	118646	3795
969	118768	3673
970	118888	3550
971	119009	3428
972	119129	3305
973	119247	3183
974	119364	3060
975	119484	2938
976	119599	2815
977	119718	2693
978	119840	2570
979	119985	2448
980	120103	2326
981	120218	2203
982	120335	2081
983	120453	1958
984	120570	1836
985	120688	1713
986	120804	1591
987	120925	1468
988	121040	1346
989	121156	1223
990	121272	1101
991	121389	978
992	121508	856
993	121626	734
994	121744	611
995	121865	489
996	121984	367
997	122103	244
998	122220	122
999	122342	0
