iter	MultiClass
0	2.201080709
1	2.11153843
2	2.022427166
3	1.943171159
4	1.88520341
5	1.820558022
6	1.740661597
7	1.677001723
8	1.620090406
9	1.566530698
10	1.509428015
11	1.463065391
12	1.420332387
13	1.383924522
14	1.343311425
15	1.306399318
16	1.267156631
17	1.232814133
18	1.19569781
19	1.168376845
20	1.139531687
21	1.112098704
22	1.086775432
23	1.063983414
24	1.036682536
25	1.011803795
26	0.9885760471
27	0.9633407624
28	0.9451010145
29	0.9205298159
30	0.9005092519
31	0.8831587698
32	0.864260644
33	0.8466669387
34	0.8275294753
35	0.8097500807
36	0.794260418
37	0.7790173946
38	0.7655896131
39	0.7507525848
40	0.7356036632
41	0.7239140909
42	0.7127813073
43	0.6999081403
44	0.6857353077
45	0.6745823914
46	0.6614019464
47	0.6484205734
48	0.6371234384
49	0.6270124266
50	0.6186315753
51	0.6069421477
52	0.5957885426
53	0.5855267721
54	0.5775552543
55	0.5693943332
56	0.5609529967
57	0.5546944838
58	0.5457416145
59	0.5363400271
60	0.5283918224
61	0.5198854477
62	0.5115404813
63	0.5051920362
64	0.5001796884
65	0.4928185932
66	0.4867460725
67	0.4820003631
68	0.4765299597
69	0.4710193653
70	0.463645157
71	0.4593985327
72	0.4538071041
73	0.4467141393
74	0.4411030676
75	0.4346888242
76	0.4292700282
77	0.4232013869
78	0.4178968317
79	0.4139021068
80	0.4097395683
81	0.405473992
82	0.4001889417
83	0.3953744685
84	0.3907444171
85	0.3873159903
86	0.3825468207
87	0.3794224382
88	0.3748805837
89	0.3699754496
90	0.3662616538
91	0.3629209847
92	0.3579181847
93	0.3545446184
94	0.3500703801
95	0.3448825192
96	0.3419440709
97	0.3387591579
98	0.3362591203
99	0.3333899981
100	0.3321050284
101	0.3298264622
102	0.3268098354
103	0.3240903571
104	0.3196455878
105	0.3169663086
106	0.3140939662
107	0.3103094326
108	0.3086737003
109	0.3047473538
110	0.302720447
111	0.3000710497
112	0.2988776083
113	0.2965391123
114	0.2944613593
115	0.2933345134
116	0.293112739
117	0.2903228219
118	0.2871070111
119	0.2830425964
120	0.2806688624
121	0.2795639596
122	0.2767109092
123	0.2748607572
124	0.2724028297
125	0.2695195588
126	0.2665254533
127	0.2642981843
128	0.2624520612
129	0.2598198942
130	0.2581105059
131	0.2572758267
132	0.2554158561
133	0.2541502127
134	0.2522732987
135	0.2508269188
136	0.2493900995
137	0.2482022426
138	0.2473880222
139	0.2460799667
140	0.2443741738
141	0.2442339925
142	0.2422523484
143	0.242017331
144	0.2401201698
145	0.2384299238
146	0.236489657
147	0.2352000009
148	0.2345641003
149	0.2342486517
150	0.2333558567
151	0.2307570085
152	0.2297011835
153	0.228262106
154	0.2270790965
155	0.2264573973
156	0.2263417179
157	0.226072414
158	0.2243439761
159	0.2230844566
160	0.2221095245
161	0.2207958444
162	0.2198057373
163	0.2190122286
164	0.2180455091
165	0.2169630997
166	0.2162021694
167	0.2150134523
168	0.2138616892
169	0.2137362487
170	0.2125611318
171	0.2112542806
172	0.2094604809
173	0.2093037967
174	0.208488076
175	0.2077360428
176	0.2073477366
177	0.2063226924
178	0.2054362052
179	0.2048091637
180	0.2042670841
181	0.2031235345
182	0.2019510773
183	0.2005385153
184	0.1993067853
185	0.1990028119
186	0.1983784329
187	0.1979601747
188	0.1973770569
189	0.1965452278
190	0.1958763346
191	0.1949603687
192	0.1947228393
193	0.1934419718
194	0.19306786
195	0.191717391
196	0.1910834436
197	0.1908988047
198	0.1901663422
199	0.1898288157
200	0.1885888364
201	0.1871874149
202	0.1853391554
203	0.1848615496
204	0.1843359441
205	0.1834587205
206	0.1826036117
207	0.182079342
208	0.1813218492
209	0.180979195
210	0.1803764707
211	0.1802539546
212	0.1794100164
213	0.1788599743
214	0.1776335858
215	0.1764277626
216	0.1750892648
217	0.174525245
218	0.1739724675
219	0.1734766542
220	0.1729415323
221	0.1723370213
222	0.1716583358
223	0.1711051936
224	0.170282828
225	0.1695635227
226	0.168481449
227	0.1679636021
228	0.1678471072
229	0.1672607432
230	0.1670927511
231	0.1670192215
232	0.1666023867
233	0.1660881198
234	0.1652872977
235	0.1652243622
236	0.1642484831
237	0.1641290482
238	0.1637313307
239	0.1632608177
240	0.1625768009
241	0.1613663645
242	0.160724093
243	0.1602772526
244	0.1592279581
245	0.1586802548
246	0.1584582413
247	0.1574095378
248	0.1567838102
249	0.1560312518
250	0.15522362
251	0.1545737845
252	0.1535649167
253	0.152691644
254	0.1520476636
255	0.1515592505
256	0.1512386173
257	0.1511641547
258	0.1507620081
259	0.1499791555
260	0.1495367995
261	0.14861918
262	0.1485435835
263	0.1476460221
264	0.1472775263
265	0.1472027439
266	0.1466674709
267	0.1464365258
268	0.1459211467
269	0.1453826126
270	0.145127322
271	0.1447073924
272	0.1435577686
273	0.1432697472
274	0.142850822
275	0.1427529655
276	0.1422802361
277	0.142109955
278	0.1416049342
279	0.141306954
280	0.1411712632
281	0.1405262326
282	0.1401687144
283	0.1392798338
284	0.1392440151
285	0.1388679522
286	0.1383544246
287	0.1376052067
288	0.1370283797
289	0.1363554127
290	0.1362929785
291	0.1362222296
292	0.136123026
293	0.1350459076
294	0.1344487888
295	0.1339766948
296	0.1330969235
297	0.1327597868
298	0.1325265014
299	0.1321277065
300	0.131068918
301	0.1306838306
302	0.1306161541
303	0.1303520095
304	0.1303042406
305	0.1300631732
306	0.1293890563
307	0.1291237819
308	0.1288413558
309	0.1279962297
310	0.1279333897
311	0.1275466285
312	0.1274594473
313	0.1271184751
314	0.1261608766
315	0.1259314984
316	0.1251818371
317	0.1250971691
318	0.1246991688
319	0.1244748572
320	0.1238701779
321	0.1235659621
322	0.1235154775
323	0.1231290153
324	0.1224549861
325	0.1220483515
326	0.1218496035
327	0.1217650894
328	0.1217304475
329	0.1211556681
330	0.120670917
331	0.1203096622
332	0.1200532531
333	0.1200164448
334	0.1193511022
335	0.1190927881
336	0.1183670562
337	0.1178462074
338	0.1174782835
339	0.1169701846
340	0.1167126526
341	0.1163127134
342	0.1161427104
343	0.1157851604
344	0.1155300791
345	0.1153148595
346	0.1152090268
347	0.114497792
348	0.1141117733
349	0.1139972291
350	0.1137975925
351	0.1132917271
352	0.1130792056
353	0.113028758
354	0.1127566616
355	0.1120774877
356	0.1116756139
357	0.1113577785
358	0.1111327432
359	0.1109969645
360	0.1107896429
361	0.1105427267
362	0.1102650365
363	0.1100305896
364	0.1098954438
365	0.1098583122
366	0.109639607
367	0.109349008
368	0.109061223
369	0.1087489392
370	0.108331192
371	0.1078714231
372	0.1075373942
373	0.107259012
374	0.1070716579
375	0.1066082599
376	0.1065729128
377	0.1063393801
378	0.1059502666
379	0.1056810119
380	0.1054699739
381	0.1050636395
382	0.1047450786
383	0.1045040387
384	0.1043589532
385	0.1033502095
386	0.1030206796
387	0.1028016874
388	0.1026449458
389	0.1024734848
390	0.1018170466
391	0.1014959284
392	0.1013685808
393	0.1010651865
394	0.1007482091
395	0.1004550337
396	0.1001193914
397	0.09985407293
398	0.0996870645
399	0.09939653485
400	0.0992058913
401	0.09903233275
402	0.09867025074
403	0.09842493269
404	0.09815509162
405	0.09785066984
406	0.09753279724
407	0.09713188684
408	0.09672100366
409	0.09650121028
410	0.09632883461
411	0.09615186361
412	0.09591036245
413	0.09581252096
414	0.0956722881
415	0.09532727094
416	0.0950920091
417	0.09481353635
418	0.09436912402
419	0.09434464621
420	0.09409451145
421	0.09376428193
422	0.0937306323
423	0.09365708766
424	0.09345460623
425	0.09318037666
426	0.09298649103
427	0.0928536435
428	0.09249964084
429	0.09213340371
430	0.09175986596
431	0.09143485775
432	0.09121101657
433	0.09098115669
434	0.09083037919
435	0.09051841087
436	0.09021107988
437	0.09003719148
438	0.0897617179
439	0.08941140017
440	0.08932861591
441	0.08917922105
442	0.08893542345
443	0.08866867271
444	0.08853942611
445	0.08841264827
446	0.08837276901
447	0.08814989456
448	0.08811457376
449	0.08798933806
450	0.08776564237
451	0.08762955314
452	0.08745180269
453	0.08742707592
454	0.08720506158
455	0.08714693957
456	0.08704360632
457	0.08667486545
458	0.08663726753
459	0.08648879619
460	0.08639929832
461	0.08621650182
462	0.08604579859
463	0.08598409827
464	0.08579385613
465	0.08567366505
466	0.08552795212
467	0.08520343081
468	0.08513111989
469	0.08503237544
470	0.08484127913
471	0.08481460427
472	0.08450440431
473	0.08427170061
474	0.08408427712
475	0.08376069022
476	0.08358475305
477	0.08353638622
478	0.08345056242
479	0.08324323905
480	0.08296036852
481	0.0828159873
482	0.08268250116
483	0.08252466628
484	0.08249895624
485	0.08236090808
486	0.08207719348
487	0.08202401754
488	0.0818966189
489	0.08187013695
490	0.0818467699
491	0.08170426237
492	0.08144695252
493	0.08135969226
494	0.08111870834
495	0.08086353664
496	0.08069889059
497	0.08044027202
498	0.08018340467
499	0.08010304498
500	0.07994161358
501	0.07974906165
502	0.07940742267
503	0.07931233417
504	0.07916231512
505	0.07896166374
506	0.07887214156
507	0.07884095691
508	0.07869049998
509	0.07817971002
510	0.0780241927
511	0.07783826559
512	0.07764537934
513	0.07744767459
514	0.07716803923
515	0.0771443056
516	0.0770969291
517	0.07676349075
518	0.07646396044
519	0.07635452209
520	0.07591563895
521	0.07571057298
522	0.07555379429
523	0.07531703588
524	0.07520123924
525	0.07478420939
526	0.0747223009
527	0.07448878774
528	0.07447138636
529	0.07436075315
530	0.07413979773
531	0.0739161563
532	0.07379904749
533	0.07369421878
534	0.0735232608
535	0.07337229085
536	0.07331632459
537	0.07305963839
538	0.07297729495
539	0.07295595335
540	0.07282379553
541	0.07270216265
542	0.07258228389
543	0.07240403645
544	0.07216676381
545	0.0721488558
546	0.07189774637
547	0.07176210543
548	0.0716673074
549	0.07154288269
550	0.07140334863
551	0.07131183323
552	0.07122286994
553	0.07111114212
554	0.07101426571
555	0.07086441861
556	0.07069747947
557	0.07053913466
558	0.07052286272
559	0.07023765255
560	0.06995214133
561	0.06993724604
