iter	Logloss
0	0.4987777539
1	0.4393981334
2	0.411448618
3	0.3953190493
4	0.3786153472
5	0.3683223939
6	0.3645216695
7	0.3564221029
8	0.350962521
9	0.3451882909
10	0.3428389303
11	0.3417733868
12	0.3396765248
13	0.3393177933
14	0.3374268607
15	0.3356609987
16	0.3281429162
17	0.3226770765
18	0.3185447521
19	0.3155394351
20	0.3144308369
21	0.3062065853
22	0.3017398106
23	0.2934704256
24	0.2908563078
25	0.2869756463
26	0.2860710058
27	0.2818662236
28	0.2754322866
29	0.2722872831
30	0.2707251645
31	0.2670927155
32	0.2640274777
33	0.2603380868
34	0.2576637482
35	0.2547576776
36	0.2527881365
37	0.2517092415
38	0.2481697168
39	0.2447974816
40	0.2435687847
41	0.2397468438
42	0.239044961
43	0.2379709094
44	0.2376096918
45	0.2355856306
46	0.2340803682
47	0.2318819025
48	0.2299571305
49	0.2278326013
50	0.226558321
51	0.2262825698
52	0.2251031211
53	0.2250517299
54	0.2228198105
55	0.2222242891
56	0.221223124
57	0.2199802399
58	0.2193164611
59	0.2182488817
60	0.218123361
61	0.2168307358
62	0.2163909312
63	0.2158715109
64	0.2158153834
65	0.2156306278
66	0.2155752932
67	0.2152709961
68	0.2146941624
69	0.2138100313
70	0.2121051831
71	0.2119089834
72	0.2106051713
73	0.2099679883
74	0.2099084961
75	0.2092354592
76	0.2081178815
77	0.2080938789
78	0.2077778591
79	0.2059988815
80	0.2051735782
81	0.204636906
82	0.2041446814
83	0.2038378769
84	0.2037109632
85	0.2036769738
86	0.2032780594
87	0.2023538739
88	0.2009064321
89	0.200328484
90	0.1997945978
91	0.1988645404
92	0.1976982074
93	0.1975611997
94	0.1972806052
95	0.1965600775
96	0.1962717678
97	0.1955238942
98	0.1949476606
99	0.1948543077
100	0.1940201749
101	0.1936052301
102	0.1923921564
103	0.1916855373
104	0.1914395107
105	0.1907910979
106	0.1902064206
107	0.1897406632
108	0.1895097883
109	0.1891815957
110	0.1891725733
111	0.1888534032
112	0.1884452734
113	0.1880887064
114	0.1879971965
115	0.1875033432
116	0.1872422936
117	0.1864060606
118	0.1857593408
119	0.185592137
120	0.1855136357
121	0.1848738167
122	0.1845896003
123	0.1842568215
124	0.1839366013
125	0.1833745764
126	0.1833217921
127	0.1830203881
128	0.1827435654
129	0.1825194627
130	0.1824085578
131	0.1820353819
132	0.1819780328
133	0.181907911
134	0.1818874231
135	0.1818359246
136	0.1814614628
137	0.1809524365
138	0.1806873793
139	0.1805777818
140	0.1799801173
141	0.1798210358
142	0.1795738306
143	0.1790966827
144	0.178902701
145	0.178437158
146	0.1781743939
147	0.1775495443
148	0.1771978207
149	0.1771702284
150	0.1771304098
151	0.1770494868
152	0.1770246484
153	0.1768341922
154	0.1766828473
155	0.1764970951
156	0.176259598
157	0.1759263371
158	0.1758284194
159	0.1757504324
160	0.1756384239
161	0.1754355484
162	0.1753571757
163	0.1752146389
164	0.1751107634
165	0.1750398379
166	0.1749151959
167	0.1745883427
168	0.1744014118
169	0.1743848136
170	0.1742254321
171	0.174195311
172	0.1741928572
173	0.1741829133
174	0.1740208315
175	0.1739431981
176	0.1738512168
177	0.173712559
178	0.1735570886
179	0.173488124
180	0.1733520058
181	0.17321278
182	0.1731818553
183	0.1729148908
184	0.172715755
185	0.1726730325
186	0.1725393574
187	0.1724530231
188	0.1723861266
189	0.1723564877
190	0.1723326244
191	0.1722544874
192	0.1720950202
193	0.1718710353
194	0.1717801469
195	0.1716232836
196	0.1714221011
197	0.1712972234
198	0.1712704884
199	0.1711956088
